construct,beta_rejection,p_rejection,r2_model1
commonsense_reasoning,0.4041395623891184,0.001815481724914952,0.8244447072738024
knowledge_reasoning,0.036409116175652755,0.7208362374038526,0.02285382951131032
math_reasoning,0.5136250644376683,0.16328978232431973,0.29603055911180653
