model_pair,benchmark,condition,cond_type,temperature,run,accuracy,mean_accept_rate,n_items,baseline_accuracy,accuracy_delta_vs_A,score_flip_rate,n_flips,token_change_rate,token_change_no_score_flip_rate,alpha_threshold
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,C_090,spec,0.7,0,0.295,0.12294492464539006,200,0.295,0.0,0.0,0.0,1.0,1.0,0.9
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_030,temp,0.3,0,0.295,1.0,200,0.295,0.0,0.0,0.0,1.0,1.0,
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_050,temp,0.5,0,0.245,1.0,200,0.295,-0.04999999999999999,0.05,10.0,1.0,0.95,
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_070,temp,0.7,0,0.245,1.0,200,0.295,-0.04999999999999999,0.05,10.0,1.0,0.95,
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_100,temp,1.0,0,0.245,1.0,200,0.295,-0.04999999999999999,0.05,10.0,1.0,0.95,
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,T_150,temp,1.5,0,0.25,1.0,200,0.295,-0.044999999999999984,0.045,9.0,1.0,0.955,
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,A,spec,0.7,0,0.77,1.0,500,0.77,0.0,,,,,
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,B,spec,0.7,0,0.77,0.382,500,0.77,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_060,spec,0.7,0,0.782,0.374,500,0.77,0.01200000000000001,0.088,44.0,0.138,0.05,0.6
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_070,spec,0.7,0,0.8,0.37,500,0.77,0.030000000000000027,0.078,39.0,0.132,0.054,0.7
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_080,spec,0.7,0,0.8,0.364,500,0.77,0.030000000000000027,0.086,43.0,0.14,0.054,0.8
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,C_090,spec,0.7,0,0.794,0.34,500,0.77,0.02400000000000002,0.072,36.0,0.128,0.056,0.9
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_030,temp,0.3,0,0.818,1.0,500,0.77,0.04799999999999993,0.072,36.0,0.122,0.05,
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_050,temp,0.5,0,0.804,1.0,500,0.77,0.03400000000000003,0.082,41.0,0.134,0.052,
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_070,temp,0.7,0,0.778,1.0,500,0.77,0.008000000000000007,0.116,58.0,0.176,0.06,
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_100,temp,1.0,0,0.728,1.0,500,0.77,-0.04200000000000004,0.162,81.0,0.232,0.07,
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,T_150,temp,1.5,0,0.574,1.0,500,0.77,-0.19600000000000006,0.28,140.0,0.384,0.104,
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,A,spec,0.7,0,0.658,1.0,500,0.658,0.0,,,,,
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,B,spec,0.7,0,0.658,0.632,500,0.658,0.0,0.0,0.0,0.0,0.0,1.0
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_060,spec,0.7,0,0.7,0.586,500,0.658,0.041999999999999926,0.122,61.0,0.164,0.042,0.6
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_070,spec,0.7,0,0.682,0.552,500,0.658,0.02400000000000002,0.148,74.0,0.192,0.044,0.7
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_080,spec,0.7,0,0.678,0.526,500,0.658,0.020000000000000018,0.132,66.0,0.182,0.05,0.8
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,C_090,spec,0.7,0,0.688,0.492,500,0.658,0.029999999999999916,0.142,71.0,0.2,0.058,0.9
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_030,temp,0.3,0,0.712,1.0,500,0.658,0.05399999999999994,0.194,97.0,0.266,0.072,
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_050,temp,0.5,0,0.692,1.0,500,0.658,0.03399999999999992,0.202,101.0,0.282,0.08,
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_070,temp,0.7,0,0.68,1.0,500,0.658,0.02200000000000002,0.23,115.0,0.32,0.09,
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_100,temp,1.0,0,0.632,1.0,500,0.658,-0.026000000000000023,0.278,139.0,0.374,0.096,
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,T_150,temp,1.5,0,0.502,1.0,500,0.658,-0.15600000000000003,0.348,174.0,0.496,0.148,
