model_pair,benchmark,agree_A_vs_T070,agree_A_vs_B,delta
Llama-3.2-1B→Llama-3.1-8B,gsm8k,0.86,1.0,-0.14
Llama-3.2-1B→Llama-3.1-8B,hellaswag,0.854,1.0,-0.14600000000000002
Llama-3.2-1B→Llama-3.1-8B,mmlu,0.736,1.0,-0.264
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,0.95,1.0,-0.050000000000000044
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,0.928,1.0,-0.07199999999999995
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,0.77,1.0,-0.22999999999999998
