model_pair,benchmark,run,target_acc,draft_acc,accuracy_gap
Llama-3.2-1B→Llama-3.1-8B,gsm8k,0,0.15,0.05,0.09999999999999999
Llama-3.2-1B→Llama-3.1-8B,hellaswag,0,0.104,0.092,0.011999999999999997
Llama-3.2-1B→Llama-3.1-8B,mmlu,0,0.558,0.332,0.22600000000000003
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,0,0.3,0.1,0.19999999999999998
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,0,0.048,0.154,-0.106
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,0,0.658,0.436,0.22200000000000003
