model_pair,benchmark,r,p
Llama-3.2-1B→Llama-3.1-8B,gsm8k,-0.47846458219161847,0.4149156478741208
Llama-3.2-1B→Llama-3.1-8B,hellaswag,-0.9982998803366967,8.412833797021942e-05
Llama-3.2-1B→Llama-3.1-8B,mmlu,-0.9875821339704255,0.0016580350455393709
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,-0.5230539781085232,0.3657809698941883
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,-0.9708496621877151,0.005948276038545461
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,-0.9706328385564477,0.006014567739281537
