model_pair,benchmark,var_item,var_condition,var_cond_x_item,var_error,var_total,G_coeff
Llama-3.2-1B→Llama-3.1-8B,gsm8k,0.051788695543835056,0.0023068181818181816,0.08614435815440843,0,0.08785067592707546,0.9999999806907671
Llama-3.2-1B→Llama-3.1-8B,hellaswag,0.13465671839546875,0.004857163636363637,0.231691382765531,0,0.2356864553885745,0.9999999925737089
Llama-3.2-1B→Llama-3.1-8B,mmlu,0.1444174630252236,0.0028419636363636357,0.24378466022955003,0,0.24592540792541212,0.9999999930756297
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,0.18285622326508547,0.0006313636363636359,0.19897441754225673,0,0.19864380503534043,0.9999999945312226
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,0.12848238626012376,0.004597818181818185,0.1758021497540536,0,0.17966304617369402,0.999999992216832
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,0.14046668543698934,0.003303199999999999,0.22119548187283664,0,0.22379669030733387,0.9999999928808743
