benchmark,condition,predictor,point_biserial_r,p,n
gsm8k,T_100,mean_exact_reject_prob,0.07244286482118631,0.14811442991102863,400
gsm8k,T_100,mean_target_prob_draft_token,-0.1095895212627664,0.0284130418587646,400
gsm8k,T_150,mean_js_div_topk,0.06756579731279344,0.1774563076447247,400
gsm8k,T_150,mean_target_entropy_topk,0.08214415580455992,0.10089809793649657,400
gsm8k,T_150,mean_exact_reject_prob,0.05122417772100811,0.30680529453629696,400
gsm8k,T_150,mean_target_prob_draft_token,0.029788155215243552,0.5524917141584214,400
hellaswag,C_060,accept_rate,-0.13961108140161552,9.375969891631207e-06,1000
hellaswag,C_060,mean_js_div_topk,-0.06480460938604125,0.040472622407105315,1000
hellaswag,C_060,mean_target_entropy_topk,-0.022220878024424254,0.48274548209269413,1000
hellaswag,C_060,mean_exact_reject_prob,0.07476652201838302,0.018045740809250935,1000
hellaswag,C_060,mean_target_prob_draft_token,-0.04261678841621728,0.17811314681792342,1000
hellaswag,C_070,accept_rate,-0.14276256914131547,5.839032848986451e-06,1000
hellaswag,C_070,mean_js_div_topk,-0.04350584733442832,0.16922264379032076,1000
hellaswag,C_070,mean_target_entropy_topk,-0.01985854881308053,0.5304895549350754,1000
hellaswag,C_070,mean_exact_reject_prob,0.07446987329271693,0.018509261120934272,1000
hellaswag,C_070,mean_target_prob_draft_token,-0.06005610464574809,0.05763297680874926,1000
hellaswag,C_080,accept_rate,-0.1341130091660367,2.0908911674176012e-05,1000
hellaswag,C_080,mean_js_div_topk,-0.08933181895363937,0.004698035687157698,1000
hellaswag,C_080,mean_target_entropy_topk,-0.02754315335820899,0.3842639631396286,1000
hellaswag,C_080,mean_exact_reject_prob,0.037336119675118094,0.23815680716675086,1000
hellaswag,C_080,mean_target_prob_draft_token,-0.024299717603356866,0.44273865252175637,1000
hellaswag,C_090,accept_rate,-0.14892767918839442,2.2450029336971247e-06,1000
hellaswag,C_090,mean_js_div_topk,-0.10703321559696237,0.0006984235172367561,1000
hellaswag,C_090,mean_target_entropy_topk,-0.0467701331421604,0.1394183567129276,1000
hellaswag,C_090,mean_exact_reject_prob,0.02882253598747269,0.3625600371487622,1000
hellaswag,C_090,mean_target_prob_draft_token,-0.008543284561925293,0.7872914990127893,1000
hellaswag,T_030,mean_js_div_topk,-0.18524684108535816,3.594570079390478e-09,1000
hellaswag,T_030,mean_target_entropy_topk,-0.05396613508684373,0.08806997785721435,1000
hellaswag,T_030,mean_exact_reject_prob,-0.1187750759726587,0.0001667934954616924,1000
hellaswag,T_030,mean_target_prob_draft_token,-0.001713562593144809,0.956839658837414,1000
hellaswag,T_050,mean_js_div_topk,-0.16901688660906194,7.581031219200695e-08,1000
hellaswag,T_050,mean_target_entropy_topk,-0.08626903132004739,0.0063383393816473016,1000
hellaswag,T_050,mean_exact_reject_prob,-0.10053374822498817,0.0014563289977660274,1000
hellaswag,T_050,mean_target_prob_draft_token,0.009445205900722998,0.7654614436221754,1000
hellaswag,T_070,mean_js_div_topk,-0.15870692988287644,4.547541933109835e-07,1000
hellaswag,T_070,mean_target_entropy_topk,-0.0718799403845289,0.023017671467325973,1000
hellaswag,T_070,mean_exact_reject_prob,-0.11427216909015324,0.00029352243659134527,1000
hellaswag,T_070,mean_target_prob_draft_token,0.009638285780283001,0.7608115717994394,1000
hellaswag,T_100,mean_js_div_topk,-0.14069449213648325,7.976383671106158e-06,1000
hellaswag,T_100,mean_target_entropy_topk,-0.1006348966424237,0.0014402196653623557,1000
hellaswag,T_100,mean_exact_reject_prob,-0.11156698577161403,0.0004082605969314174,1000
hellaswag,T_100,mean_target_prob_draft_token,0.03965657349124224,0.21021466435743774,1000
hellaswag,T_150,mean_js_div_topk,-0.15030182038736542,1.8045778999352142e-06,1000
hellaswag,T_150,mean_target_entropy_topk,-0.1228144876305705,9.875675882539153e-05,1000
hellaswag,T_150,mean_exact_reject_prob,-0.11817730765853061,0.0001799969892315136,1000
hellaswag,T_150,mean_target_prob_draft_token,0.04191256833103886,0.185398107921283,1000
mmlu,C_060,accept_rate,-0.2646562540767326,1.725774118032562e-17,1000
mmlu,C_060,mean_js_div_topk,-0.029486275461326247,0.3516083155190675,1000
mmlu,C_060,mean_target_entropy_topk,0.15566082031177408,7.557861378264676e-07,1000
mmlu,C_060,mean_exact_reject_prob,0.20361767356220833,8.079912633060109e-11,1000
mmlu,C_060,mean_target_prob_draft_token,-0.22983832826657696,1.8702954845461462e-13,1000
mmlu,C_070,accept_rate,-0.2905173782374595,6.692798605442468e-21,1000
mmlu,C_070,mean_js_div_topk,-0.028898509989924822,0.36129576220102705,1000
mmlu,C_070,mean_target_entropy_topk,0.18502122678881394,3.757467094000918e-09,1000
mmlu,C_070,mean_exact_reject_prob,0.18928781585303858,1.6100318852274712e-09,1000
mmlu,C_070,mean_target_prob_draft_token,-0.2256913430869086,5.144299687907704e-13,1000
mmlu,C_080,accept_rate,-0.3164809640168079,1.0630023554100214e-24,1000
mmlu,C_080,mean_js_div_topk,-0.07014305249448943,0.026549633893829805,1000
mmlu,C_080,mean_target_entropy_topk,0.2345393365260563,5.79912325209983e-14,1000
mmlu,C_080,mean_exact_reject_prob,0.1462340120434103,3.425141713082857e-06,1000
mmlu,C_080,mean_target_prob_draft_token,-0.22433758144352825,7.127123008179126e-13,1000
mmlu,C_090,accept_rate,-0.31004090854458577,1.0112215158355739e-23,1000
mmlu,C_090,mean_js_div_topk,-0.07327010127706916,0.020491681381591614,1000
mmlu,C_090,mean_target_entropy_topk,0.22502296945689867,6.044278454965137e-13,1000
mmlu,C_090,mean_exact_reject_prob,0.15256502538540237,1.25408098077334e-06,1000
mmlu,C_090,mean_target_prob_draft_token,-0.2209805323113509,1.5852474873307623e-12,1000
mmlu,T_030,mean_js_div_topk,-0.18809171228288707,2.0458923134616173e-09,1000
mmlu,T_030,mean_target_entropy_topk,0.36974088177502584,9.425147780998843e-34,1000
mmlu,T_030,mean_exact_reject_prob,-0.07600507335387759,0.016218401116917008,1000
mmlu,T_030,mean_target_prob_draft_token,-0.17475690470551872,2.663297425571937e-08,1000
mmlu,T_050,mean_js_div_topk,-0.19051050536099207,1.2582727852297247e-09,1000
mmlu,T_050,mean_target_entropy_topk,0.3686459775329076,1.5080372500740229e-33,1000
mmlu,T_050,mean_exact_reject_prob,-0.07047922945056785,0.02583165193740779,1000
mmlu,T_050,mean_target_prob_draft_token,-0.16349418360236695,2.006956648940349e-07,1000
mmlu,T_070,mean_js_div_topk,-0.1583887505836442,4.797535288041984e-07,1000
mmlu,T_070,mean_target_entropy_topk,0.3454240258632417,2.1162425315460883e-29,1000
mmlu,T_070,mean_exact_reject_prob,-0.0627431393446732,0.04730208746992556,1000
mmlu,T_070,mean_target_prob_draft_token,-0.13852087743055586,1.1019010751137836e-05,1000
mmlu,T_100,mean_js_div_topk,-0.1322873277219511,2.7105194000005763e-05,1000
mmlu,T_100,mean_target_entropy_topk,0.2856032968848474,3.176188434126579e-20,1000
mmlu,T_100,mean_exact_reject_prob,-0.1047207192838458,0.0009113929576858886,1000
mmlu,T_100,mean_target_prob_draft_token,-0.07637105931418718,0.015710476619528492,1000
mmlu,T_150,mean_js_div_topk,-0.04007051638387384,0.20548993954333147,1000
mmlu,T_150,mean_target_entropy_topk,0.13091575899975938,3.2868155428248096e-05,1000
mmlu,T_150,mean_exact_reject_prob,-0.05315801500004338,0.0929398965237926,1000
mmlu,T_150,mean_target_prob_draft_token,-0.038414938712626,0.22485631847649737,1000
