model_pair,benchmark,var_item,var_temperature,var_temp_x_item,var_error,var_total,G_coeff
Llama-3.2-1B→Llama-3.1-8B,gsm8k,0.05203517587939702,0.0018875,0.07664824120603014,0,0.07785285285285247,0.9999999807822312
Llama-3.2-1B→Llama-3.1-8B,hellaswag,0.1812384769539073,0.008710000000000002,0.23678156312625248,0,0.2433733493397392,0.9999999944824078
Llama-3.2-1B→Llama-3.1-8B,mmlu,0.183727454909819,0.006907999999999999,0.24135631262525054,0,0.24649859943977123,0.9999999945571554
Qwen2.5-0.5B→Qwen2.5-7B,gsm8k,0.1721246231155785,0.00047999999999999974,0.191035175879397,0,0.19065465465465561,0.999999994190256
Qwen2.5-0.5B→Qwen2.5-7B,hellaswag,0.13872529058116145,0.009830800000000004,0.18471262525050103,0,0.19228475390155755,0.9999999927915091
Qwen2.5-0.5B→Qwen2.5-7B,mmlu,0.17132168336673315,0.007132799999999998,0.2241210420841683,0,0.22947082833132998,0.9999999941630273
